,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil consumption in World,30717.16793,33083.77292,35440.69303,38354.38145,41691.65188,45229.18216,47930.67321,51450.91299,55600.62001,54819.12078,54375.17177,57772.05494,59936.17723,62877.65297,64014.88121,61400.86444,59529.54987,57916.21916,57759.50613,59024.53405,59421.66305,61256.08829,62586.32109,64567.79918,65852.3313,66667.12851,66856.21478,67907.53549,67633.34265,69235.41473,70375.90321,71851.77026,73920.26472,74535.84536,76309.48955,76988.39147,77862.51221,78762.79217,80569.44895,83367.89172,84725.72335,85727.7918,87087.3121,86578.40562,85700.42288,88764.8405,89790.31234,90662.68546,92048.92948,93109.47093,95008.05082
Oil consumption in Australia,312.9800822,367.4275068,401.4631781,435.9911749,450.9608219,496.7535068,523.1010137,532.1593716,569.9006301,603.8556438,600.008274,612.6647814,643.1646301,649.5416986,661.7346301,633.9769126,628.2890411,620.9800548,596.1676986,618.3363388,599.8083288,619.3038082,630.319863,654.9078415,681.2525205,700.3843562,679.2776712,684.5413934,723.5746575,752.4021918,782.2521918,798.3092077,827.7111507,827.4523014,841.1070959,837.1605738,845.3149041,843.2772603,853.658,865.2604589,880.9769348,939.3959898,921.0168342,933.6348401,940.1363319,947.5892838,990.4675897,1021.286622,1014.086586,993.1059204,1005.544947
Oil consumption in Bangladesh,0,0,0,0,0,0,14.00605479,16.86756831,18.97468493,19.62638356,23.10284932,24.93051913,24.58331507,26.19394521,28.92430137,32.35513661,33.59435616,33.19082192,29.68126027,29.8518306,33.58969863,36.14254795,35.75115068,35.80368852,39.39123288,38.2249589,35.42438356,39.25057377,44.07386301,46.14405479,60.0849589,61.09248634,70.56079452,78.11813699,69.23778082,67.97,81.37868493,81.76592101,84.91363099,79.31342232,79.96194162,80.68302381,76.28291274,77.18664421,72.37415263,80.49023759,103.7529871,109.8551207,106.8389261,114.8367215,112.1738819
Oil consumption in China,215.4935068,276.6654795,273.294137,298.0057104,400.5609315,554.2244658,753.2652877,864.5880328,1058.323233,1216.710356,1341.996466,1534.126202,1624.895589,1819.061233,1827.100384,1706.835337,1625.357912,1613.611201,1654.326212,1712.887835,1807.444412,1924.954502,2048.283956,2202.924572,2315.068868,2296.888911,2490.568937,2704.881289,3013.470846,3068.820543,3342.23228,3659.893876,4007.378678,4139.010427,4386.981939,4696.923683,4809.713544,5205.317579,5795.068072,6754.911039,6899.546904,7431.596762,7808.323135,7941.341122,8278.596639,9436.495907,9790.911119,10229.47027,10731.76128,11201.38891,11967.82531
Oil consumption in Hong Kong,40.61195439,44.7458846,53.5718467,58.33828845,69.56820663,74.89607832,79.62131507,90.00562842,93.92093151,96.43624658,91.17375342,107.1146721,115.7731507,120.4640274,123.7527123,125.8784426,133.9181918,130.8878356,117.4833151,109.3987432,103.4850137,102.1395342,100.8519178,115.280082,123.3093973,130.5132055,130.7747945,166.432377,173.8990411,186.3136164,198.7788493,194.1435246,192.6016986,184.7212877,197.2916712,204.1387432,246.2164658,270.3609863,271.0747123,317.401694,288.5624384,308.9051944,328.5781564,297.655263,339.4110213,359.063186,360.8478623,344.2983177,351.8688194,336.013859,367.784611
Oil consumption in India,252.2339726,281.5287123,289.3797808,324.3339071,392.3453973,390.3169589,416.3596438,447.3971585,473.6696986,464.3753151,476.862,502.8964208,542.0885753,588.4090137,633.6824658,643.3793443,696.9477808,727.6304932,765.4041644,822.8071038,895.9757808,944.1254247,974.2576438,1069.485355,1163.697342,1211.064849,1232.66926,1296.06582,1312.519425,1411.65063,1579.481233,1699.026421,1829.457233,1965.778712,2138.259589,2258.841421,2285.468356,2413.399895,2485.270231,2555.513298,2605.564466,2736.681579,2940.783014,3076.934146,3236.729254,3319.334024,3488.310535,3685.401979,3727.22406,3848.859524,4158.7854
Oil consumption in Indonesia,121.9709589,117.4666575,114.3179726,120.6463115,130.4616712,137.7405479,142.4907945,154.3287978,184.5150685,193.2961096,221.2484384,237.4122404,286.5770411,325.1059726,353.9603562,395.3228689,440.2946027,455.4109041,447.2147671,476.100082,467.9606027,494.0718082,511.8614521,536.9946721,570.596411,653.1733699,692.1147945,745.0984153,785.8611233,808.9757534,864.6745753,923.6337978,1023.955973,977.7262192,1022.317644,1139.45046,1158.741423,1209.545454,1229.749966,1307.501156,1302.613482,1243.926665,1317.773733,1286.535976,1296.507243,1402.348622,1588.958031,1630.663347,1642.758992,1675.81357,1628.100796
Oil consumption in Japan,1705.075863,1945.19189,2388.409726,2765.207568,3284.039397,3876.208603,4285.447836,4570.639153,5264.604438,5068.185836,4787.586795,4975.957568,5083.192658,5421.098027,5491.071479,4904.685874,4655.726877,4404.265671,4406.013014,4620.915656,4427.586986,4483.797068,4491.020438,4807.046995,5017.17611,5239.565364,5327.591276,5454.868578,5367.239,5651.8224,5770.776354,5802.001269,5756.158776,5525.888082,5636.962859,5542.049705,5392.431209,5311.83571,5417.619884,5269.6924,5354.441433,5173.695281,5013.82574,4847.650069,4389.044065,4441.851701,4440.895136,4687.841456,4531.423826,4308.54239,4150.287628
Oil consumption in Malaysia,46.08022542,53.75209054,53.44089642,53.94090023,55.89679726,61.7940193,67.58706849,74.93076503,81.9209589,81.67328767,86.15816438,95.73948087,108.9170685,119.0211507,144.9050959,163.2143698,175.2256689,183.5947022,197.0196664,193.6905836,194.6071715,188.010249,193.7309128,209.9614202,219.2701674,262.6429935,284.6383655,308.9519656,345.705288,385.4812132,403.8352496,445.3709795,511.825431,444.959998,489.3685099,494.545318,521.5394206,588.0996054,620.2544922,633.1219583,637.3990837,659.7718703,701.166309,672.2882564,678.5717595,689.5024007,717.3194548,754.5056687,799.5794738,802.9002095,831.2563263
Oil consumption in New Zealand,56.71906849,62.72975342,65.81150685,67.4331694,70.33238356,82.28693151,84.87778082,91.01961749,96.23293151,92.22951997,89.08617661,91.37102837,92.03178404,88.06140369,89.02958726,86.26778107,82.52011784,82.67928797,79.64621751,80.92207601,78.4033078,80.34478154,85.15264175,87.75169582,90.36973835,102.8287273,99.54026553,101.7460639,99.29706933,112.6894592,121.3402007,118.9057657,125.4293884,127.5403899,128.6863605,131.5253914,133.1370827,137.9843282,145.5664095,146.6262383,150.2522915,152.4187796,153.541046,154.2722817,147.5906626,150.4111816,149.9241244,148.315826,150.912514,153.7184316,159.4830845
