,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil consumption in World,30717.16793,33083.77292,35440.69303,38354.38145,41691.65188,45229.18216,47930.67321,51450.91299,55600.62001,54819.12078,54375.17177,57772.05494,59936.17723,62877.65297,64014.88121,61400.86444,59529.54987,57916.21916,57759.50613,59024.53405,59421.66305,61256.08829,62586.32109,64567.79918,65852.3313,66667.12851,66856.21478,67907.53549,67633.34265,69235.41473,70375.90321,71851.77026,73920.26472,74535.84536,76309.48955,76988.39147,77862.51221,78762.79217,80569.44895,83367.89172,84725.72335,85727.7918,87087.3121,86578.40562,85700.42288,88764.8405,89790.31234,90662.68546,92048.92948,93109.47093,95008.05082
Oil consumption in Argentina,432.3739356,447.270806,459.8769773,468.9948101,491.7507328,447.7857684,479.6032603,478.584153,482.6346849,482.8743836,457.9461644,472.7293716,497.9405205,499.883589,528.4588767,490.1523497,458.2827123,441.0080548,450.8226027,426.955082,388.9779178,448.4805479,476.7063836,474.9129781,434.8742466,412.2729863,425.9309041,448.9307377,446.8160274,432.9663014,431.5095068,447.4311202,450.2628767,459.019589,430.6128493,431.6443989,426.5518356,394.9223014,406.8709041,427.0809563,451.2291301,473.8517855,527.7525443,540.0921111,532.2228912,593.6864237,608.7792899,637.0360612,670.0636254,665.078202,678.990102
Oil consumption in Brazil,305.6738082,334.6025753,344.5401644,412.432377,456.5649041,516.4982949,569.6969211,656.8908367,803.7984366,863.5488269,891.6346367,961.4037413,994.6567076,1098.918752,1169.102533,1134.282939,1091.625123,1140.79888,1120.422176,1163.210567,1214.944675,1382.121279,1425.741743,1454.698628,1486.095701,1453.883634,1476.612298,1557.403487,1628.082961,1739.652172,1816.449429,1909.401113,2028.924527,2098.84246,2150.584194,2066.109584,2062.780391,2044.648955,1984.086283,2064.75221,2123.3406,2155.197276,2312.826569,2484.95858,2501.856485,2720.515017,2842.415174,2905.21494,3105.691287,3241.858975,3156.767264
Oil consumption in Chile,70.51694045,77.45314443,81.56863082,86.06351002,92.45494402,97.83772129,108.0435342,114.2913115,109.5587397,105.0710959,92.02065753,97.10530055,100.0235616,108.8299726,109.8866027,111.301776,115.5331781,103.8460274,100.3599178,100.2109563,97.67638356,104.421589,109.3888767,120.1387705,132.9309589,140.181589,156.3612092,169.0543856,184.814267,198.173708,217.7386986,231.1498468,249.5250872,255.7716394,259.4806883,253.1262686,242.3139762,251.9738203,243.9393513,257.4065503,266.1302081,293.4898,377.1026562,389.9331824,383.4917385,342.6394997,371.0099207,375.6049307,362.4587575,359.8856639,368.1967291
Oil consumption in Colombia,81.43229129,92.3936803,93.36931496,103.8965422,100.4919488,116.0658928,119.9529589,134.9526503,131.2271233,144.797863,144.8206301,152.092623,153.1150137,156.6368767,165.690274,157.0588197,161.4944795,165.9060548,171.8702603,171.3865902,178.5949589,177.6107397,187.0365068,196.3863716,202.6720548,205.8056164,211.1153425,230.9550546,245.5923288,253.6854795,266.221589,274.4984208,280.510886,275.1840556,245.53862,238.9628033,225.4200822,221.2866164,229.5726301,228.2560055,236.8669726,236.5134137,234.3394384,250.5534809,232.0307945,258.3435068,276.7379178,296.7347814,296.5104384,314.2835818,331.1296154
Oil consumption in Ecuador,13.39479452,13.96934247,15.11030137,18.00893443,18.95109589,21.51356164,23.87684932,24.6568306,27.43871233,31.34693151,30.72605479,34.70180328,43.55808219,44.83956164,47.77531507,61.87669399,68.98591781,75.13745205,68.84060274,69.1186612,85.13819178,86.42369863,87.64178082,86.60674863,90.73386301,91.46468493,102.8099452,99.67308743,104.1941644,113.1543836,111.0132877,123.2400546,140.5024932,143.3421918,130.106274,136.5103825,136.6467397,144.9703014,150.5633973,154.5646055,169.1541444,179.6538828,182.7494543,188.0743925,190.666616,220.419874,226.1170959,232.9755792,247.4189863,257.0232603,252.8387589
Oil consumption in Peru,72.12477823,92.29593222,93.0006006,92.76075265,91.02254593,95.37770423,95.2649589,81.64538251,95.41720548,112.0861096,117.5793973,118.6397268,118.3371233,116.935726,121.3953425,131.041694,134.410137,132.8627397,115.9838904,119.1180055,115.007589,123.976137,136.9325753,133.9846995,118.9525753,119.1571233,110.6704384,115.8385246,121.1346575,131.4612603,148.0157534,152.4458197,151.7184932,152.8735342,156.6431233,152.8203825,145.636274,145.3330959,138.4193699,152.2418033,151.7814614,146.5382965,153.3246265,172.3592687,177.5024658,188.6239726,208.0636986,212.943306,228.1506849,228.5460652,243.2394448
Oil consumption in Trinidad & Tobago,35.17133007,35.41800794,36.95416606,37.56023018,39.48698997,40.50624879,41.85863014,67.28718579,68.26616438,67.35405479,52.18731507,58.26147541,57.16720548,52.17389041,40.48364384,32.44806011,32.34646575,35.62556164,31.4540274,27.54060109,28.97986301,30.97756164,21.4570137,19.83972678,17.69350685,25.36180822,24.08010959,33.1834153,29.05887671,22.63,25.68063014,29.29448087,18.48978082,20.99479452,35.23547945,27.6300929,25.05575616,25.24507671,23.51095068,24.99676503,25.45177808,28.86668767,33.60291507,36.78009563,35.04071507,38.56883562,35.14193425,32.10111749,35.20117534,36.18193425,37.60465845
Oil consumption in Venezuela,183.8799534,181.4693945,185.7288712,201.4255902,200.3706164,209.8743644,212.3417534,230.8216011,257.2587397,259.4246027,275.9217178,280.3021503,314.7885589,330.8723699,354.4296493,423.4013497,448.3381671,444.5390575,435.2406521,408.3846475,418.0943479,435.202389,418.9150438,433.3915,422.6495507,427.9250795,412.7294932,488.3427732,450.2392767,498.6406849,484.0328767,403.7297541,432.1088493,472.5610959,506.7783014,510.463224,572.1699178,602.701863,506.3956164,544.6854645,605.7641096,667.5145205,640.0058904,715.9465847,726.4584932,726.0914521,737.0999178,791.642623,815.4336831,780.940539,678.0775933
Oil consumption in Other S. & Cent. America,408.3569941,425.479865,445.7101965,454.6933367,486.93094,520.5186882,676.2538558,709.4039172,761.8524537,753.3752639,747.4035635,771.6774099,799.0437125,832.8683439,867.7541368,974.996388,983.1479031,885.6574631,853.3644449,868.3072056,818.7584288,815.9181889,850.5043304,838.788376,900.3995725,896.004539,893.4689249,882.2590523,903.4545916,962.1395435,1002.915712,1033.772735,1112.245083,1169.920478,1204.547295,1203.807957,1252.195,1259.338733,1301.438617,1316.760044,1302.162861,1322.467195,1318.048288,1277.981349,1274.833906,1294.79946,1318.985682,1297.498077,1274.30614,1306.098591,1335.918278
