,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil production in World,31798.58986,34563.47235,37112.78182,40429.86744,43626.88614,48056.04485,50838.48619,53661.48045,58459.5721,58613.61352,55822.22559,60409.86633,62715.78788,63338.38526,66060.19569,62958.513,59546.63704,57311.96272,56615.00686,57690.27395,57454.73038,60430.30403,60740.16527,63106.00078,63997.87005,65386.254,65204.96666,65719.07481,65985.0145,67077.10742,67995.00941,69846.40056,72102.58844,73449.62654,72291.06037,74922.05623,75161.93782,74921.90872,77605.09991,80915.55297,81896.37965,82487.43992,82277.1686,82818.20046,81181.7931,83283.12853,84096.55446,86217.72582,86590.51417,88834.19394,91670.30218
Oil production in Algeria,577.3767123,738.5860822,852.0348493,932.9136612,976.9061918,1051.632,809.1425753,1089.108907,1111.105973,1035.560658,1002.65863,1109.106557,1187.761425,1270.168219,1271.20811,1138.684863,1048.929644,1064.809534,1046.785644,1137.371967,1150.896712,1198.151507,1231.245479,1254.479454,1280.12137,1347.486356,1350.613699,1323.355191,1329.123288,1323.810027,1326.607616,1385.82694,1420.52263,1460.560438,1515.441863,1549.131284,1534.247726,1653.014685,1826.281425,1920.662459,1989.931742,1979.499452,1992.273151,1969.343651,1774.856795,1689.154,1641.503205,1536.809071,1485.233041,1589.092603,1585.579071
Oil production in Angola,13.29739726,12.81016438,10.90183562,15.18442623,49.90076712,102.8264384,116.144137,142.8753279,165.9636986,173.394,158.1679726,153.14,143.368274,131.3295616,146.169863,150.3865574,145.3172055,130.1317808,178.4490411,203.9572131,232.4912877,282.7168767,355.3957808,451.8885246,459.6636164,474.6460274,497.6677808,549.7369672,503.6769863,556.7447671,632.8546027,715.9760656,741,730.8493151,745.060274,746.0614754,742.0150685,905.4410959,869.5630685,1102.677,1282.363845,1431.603216,1699.361406,1915.885741,1803.989041,1863.082192,1726.438356,1784.20765,1799.123266,1712.09586,1826.041096
Oil production in Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56164384,167.7595628,173.4246575,153.1506849,143.5616438,127.0491803,117.8082192,121.9178082,113.6986301,100.8196721,83.01369863,82.46575342,78.4734949
Oil production in Egypt,126.010411,121.7115068,108.5619178,166.3844262,239.1630137,319.0915068,290.8471233,207.9562842,164.9339726,144.9761644,228.250411,322.215847,406.5479452,490.7416438,509.32,580.1202186,628.0038356,650.7852055,711.8057534,815.9439891,882.0290411,806.4717808,907.4835616,868.7685792,878.0221918,897.1336986,895.7208219,905.9710383,940.6860274,921.4268493,923.5106849,893.8256831,872.5038356,856.7309589,827.4523288,778.7390164,758.4439041,751.4211781,749.5210959,701.0573333,671.8405479,678.6744103,698.4374867,715.3029678,729.9892872,724.6610778,714.341811,715.295818,709.814933,714.4455315,722.760726
Oil production in Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,7,17,60,83,100,118,194,230,266,351,358,341.9086,350.3904,346.927,307.3522,273.9635,251.87,272.0722,266.9882,280.6325,289.2487
Oil production in Gabon,25.33465753,28.97964384,68.99438356,92.69319672,100.677726,108.6085753,116.0587671,125.8877869,152.148137,204.3195068,226.61,226.1706011,225.6486849,212.290411,196.2284384,177.6569672,153.2496438,156.0534795,157.595589,174.3614754,172.7563288,166.1272603,154.7917534,177.5970492,204.8201918,270.2296712,294.5629589,288.6451366,304.8770685,337.2012877,355.6064658,364.5013661,364.3784658,337.421589,339.9650685,276,262,256,274,273,270.3301,241.9401,245.5558,239.5736,241.0003,255.489,254.0004,245.1669,235.9811,236.2724,232.8896
Oil production in Libya,1220,1508,1733,2599,3108,3357,2750,2248,2211,1558,1514,1972,2108,2023,2139,1862,1253,1176,1151,1022,1025,1064,1003,1051,1164,1424,1439,1473,1402,1431,1439,1452,1491,1480,1425,1475,1427,1375,1485,1622.7705,1745.059237,1816.413019,1819.739726,1820,1652.4877,1656.239202,478.7732945,1509.243183,987.8957813,498.2739726,431.9178082
Oil production in Nigeria,274,418,319,141,540,1084,1531,1818,2056,2256,1785,2071,2098,1897,2306,2059,1440,1290,1236,1388,1499,1467,1353,1496,1775,1870,1960,2020,2024,1991,1998,2145,2316,2167,2066,2155.3115,2274.4374,2102.999,2263.2453,2471.996,2527.0595,2432.993729,2313.977115,2134.32905,2234.217121,2534.758195,2475.995726,2430.426348,2321.272551,2388.503841,2352.115871
Oil production in Republic of Congo,1.377205479,1.202630137,0.969863014,0.831803279,0.465534247,0.368547945,0.271561644,6.499672131,40.55967123,47.62027397,34.70169863,40.62295082,31.79210959,47.13534247,53.57523288,61.28262295,79.54816438,88.31572603,104.0663014,116.5491803,115.1615342,115.4330959,122.5324932,136.144918,154.4409863,155.7406027,156.2255342,167.0957377,185.0110685,185.4766027,179.754411,200.3872131,224.7366575,263.7833425,266.266,265,248,238,217,225,247,279,224,237,276,314,301,294,281,276.1173,277.3347
