,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil production in World,31798.58986,34563.47235,37112.78182,40429.86744,43626.88614,48056.04485,50838.48619,53661.48045,58459.5721,58613.61352,55822.22559,60409.86633,62715.78788,63338.38526,66060.19569,62958.513,59546.63704,57311.96272,56615.00686,57690.27395,57454.73038,60430.30403,60740.16527,63106.00078,63997.87005,65386.254,65204.96666,65719.07481,65985.0145,67077.10742,67995.00941,69846.40056,72102.58844,73449.62654,72291.06037,74922.05623,75161.93782,74921.90872,77605.09991,80915.55297,81896.37965,82487.43992,82277.1686,82818.20046,81181.7931,83283.12853,84096.55446,86217.72582,86590.51417,88834.19394,91670.30218
Oil production in Australia,7,9,21,39,45,176,315,337,424,420,451,461,490,490,491,460,449,443,431,562.7667187,655.2011796,588.2174498,623.4070788,592.6893655,562.355655,647.1793833,613.0850379,605.0290899,567.785249,609.9913052,578.8428583,611.5729567,658.2702007,630.0988025,612.4836256,805.5982622,747.9749909,748.8681551,654.8500842,574.0345097,569.8146693,531.6472733,549.4064243,537.7934839,507.1948589,547.8402912,482.5699968,478.6289529,406.8779762,435.8500502,385.2544062
Oil production in Brunei,80,96,104,122,124,136,129,182,231,198,187,217,227,240,261,240,175,179,179,172,168,165,155,150,150,152,164,182,175,179,175,165,163,157,182,193,203,210,214,210.4441613,206.0241254,220.7489135,194.2123463,174.7956529,168.3563348,172.1883061,165.3621162,159.0315763,135.1563973,126.4207443,126.7541558
Oil production in China,227.129589,292.1958904,278.7408219,320.2368852,436.5868493,615.5191781,791.4391781,914.6478142,1076.606301,1302.330137,1547.533699,1745.581421,1880.496438,2089.552055,2131.724658,2121.894809,2032.719452,2050.793425,2130.118082,2295.331421,2508.265753,2624.541644,2693.825205,2744.744536,2764.112877,2777.567945,2831.388219,2844.680874,2892.438082,2933.606575,2992.648219,3174.731148,3215.76137,3216.765479,3217.568767,3256.843169,3310.147671,3351.035014,3405.638493,3485.775492,3641.963718,3710.500222,3741.677825,3813.995268,3805.374521,4076.966082,4074.184699,4155.228798,4216.442628,4245.957726,4308.835068
Oil production in India,62.34427397,95.86824658,116.9109863,120.4182787,138.696411,140.4706027,148.2275342,151.6904098,148.495726,154.519726,170.8794247,178.1482787,210.1179452,232.522274,264.8703288,193.3728689,309.4938356,411.7869041,525.4170959,582.9592623,626.8849315,657.5512603,639.0587945,672.0956284,719.2067123,714.542,676.9575616,615.0557923,590.3080548,683.6627397,773.8625753,736.105929,753.6928767,736.8262466,736.2368219,725.567541,726.8349589,753.2513973,756.4211781,772.6968852,737.1746301,759.8746849,767.800274,803.3795902,816.1628219,882.2606164,916.0694877,906.1893534,905.9192897,886.7970179,876.1156159
Oil production in Indonesia,486,474,510,599,642,854,892,1081,1338,1375,1306,1504,1685,1635,1590,1577,1602,1337,1419,1505,1342,1429,1420,1373,1481,1539,1669,1579,1588,1589,1578,1580,1557,1520,1408,1455.573014,1387.039711,1289.456524,1175.551088,1129.709463,1095.687123,1017.758567,971.7537349,1005.638499,994.27064,1003.017586,952.2847326,917.7532024,882.1682147,852.462028,824.8097205
Oil production in Malaysia,1,1,1,4,9,18,69,93,91,81,98,167,183,216,282,276,259,304,385,446,445,500,494,540,589,622,648,657,645,657,704,716,714,725,691,722,702,740,760,776,756.5123288,712.9260274,741.7123288,741.0081967,700.8465753,717.3643836,649.9968685,653.5575492,621.2082192,650.0164384,693.0850967
Oil production in Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.9,13.3,23.8,48.5,50.375,47.007,53.395,50.581,62.436,74.868,91.471,96.214,95.797,91.561,105.077,126.188,129.511,140.454,184.825,195.174,209.925,244.265,240.93,296.569,325.086,341.453,361.507,376.064,387.781,421.152,459.866,454.01,450.452,477.426
Oil production in Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.676712329,13.95081967,30.20821918,54.73972603,80.28493151,111,127.7260274,143.9452055,155.1364384,178.9344262,204.7671233,245.3150685,296,336.5409836,350.5753425,355.6027397,361.4958904,423.6174863,389.2262986,354.3150397,333.6411438,309.2612022,341.4039452,322.3723836,326.4729315,357.0561202,360.5041096,373.4278356,361.9006027
Oil production in Other Asia Pacific,35.1139726,34.08547945,31.08547945,35.1136612,36.42739726,39.50531507,42.41753425,44.29967213,47.0560274,47.33537853,47.5764547,61.9846343,72.33416442,72.13239975,92.36058089,77.17167826,77.89464196,84.87991304,90.16907196,102.6351962,122.0352241,124.9845515,119.0661945,123.3032478,132.539831,142.810969,146.2217089,202.4186403,274.2018514,256.7695355,227.4718991,242.2085488,224.0555821,214.3368055,216.2312691,195.9614257,191.393724,194.4106415,191.7480917,233.4255312,284.5912901,303.7013017,319.1881243,340.4119119,329.5722017,314.6055137,299.0889775,290.3640807,272.1313851,288.9514308,292.1158881
