,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil production in World,31798.58986,34563.47235,37112.78182,40429.86744,43626.88614,48056.04485,50838.48619,53661.48045,58459.5721,58613.61352,55822.22559,60409.86633,62715.78788,63338.38526,66060.19569,62958.513,59546.63704,57311.96272,56615.00686,57690.27395,57454.73038,60430.30403,60740.16527,63106.00078,63997.87005,65386.254,65204.96666,65719.07481,65985.0145,67077.10742,67995.00941,69846.40056,72102.58844,73449.62654,72291.06037,74922.05623,75161.93782,74921.90872,77605.09991,80915.55297,81896.37965,82487.43992,82277.1686,82818.20046,81181.7931,83283.12853,84096.55446,86217.72582,86590.51417,88834.19394,91670.30218
Oil production in Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.5178082,268.3890411,285.6739726,279.9781421,268.2109589,254.3315068,239.7205753,227.5371858,207.4040822,193.4217534,185.0685205,183.2893989,182.3065753,230.6956164,278.7186301,281.1849727,300.1553425,307.039589,307.9339726,308.6536885,444.9186027,646.1666849,855.5625753,894.5147541,1014.250356,1023.25789,918.7969589,871.8974317,876.9884795,849.0213562,840.6331849
Oil production in Denmark,0,0,0,0,0,0,0,2,3,2,3,4,10,8,8,6,15,34,43,47,60,74,93,96,112,121,142,157,168,185,186,208,230,238,299,363,348,371,368,390,379.9754978,345.5385299,311.2730932,287.228546,264.7752142,249.4596007,224.5075173,204.2353349,178.1779889,166.8404477,157.7991558
Oil production in Italy,47.76627397,39.07699178,36.55973699,34.58282514,33.86123562,31.89930137,28.53802466,25.47182514,23.35647123,23.37451507,26.88218904,28.21704372,27.10253973,31.39703562,36.22589863,35.49469399,31.04531507,36.83852877,46.72753973,47.26163934,49.6851726,53.27013973,81.80945753,100.2318552,95.67474521,97.00966849,90.02652877,93.25232514,96.37473973,101.6471589,108.7960329,112.9193169,123.5142301,116.7539726,104.1666219,94.95271858,85.71532329,114.8166082,115.614411,113.2061749,126.8221808,119.7191918,121.6075096,108.3634071,94.89630959,105.9788493,110.1362767,111.687623,115.5669699,120.9727836,114.799001
Oil production in Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.7671233,502.7936986,523.0638356,545.0893443,556.3876712,570.7446575,588.6821918,568.8825137,507.3561644,445.853589,450.4388767,493.123306,556.8730685,558.4914247,655.6265205,740.2079235,841.4902466,992.578,1080.637773,1247.808874,1294.328671,1367.891367,1413.278381,1483.46723,1609.105496,1675.590096,1684.044836,1662.391306,1720.133874,1700.562833,1668.811726
Oil production in Norway,0,0,0,0,0,0,6,33,32,35,189,279,287,356,407,528,512,532,661,752,823,907,1054,1196,1567,1716,1955,2217,2377,2693,2903,3232,3280,3138,3139,3346,3418,3333,3264,3179.860222,2960.932716,2772.238393,2550.596578,2466.290714,2349.202283,2136.449814,2040.141869,1916.999445,1837.960331,1888.713314,1947.852355
Oil production in Romania,265.7759178,271.0020548,278.8412603,279.7004098,281.0889315,283.7843014,292.3436438,298.4187978,303.9325205,308.0270137,311.3065753,312.7131148,312.5410959,293.4883288,264.662274,250.119153,253.5409315,255.5573151,252.491589,248.9290437,235.6278904,223.4267123,210.6494247,205.4409563,201.5595342,169.0478904,145.9101644,141.7580601,144.2767945,145.3689589,144.8719726,142.3815847,140.728411,136.7621644,133.1424658,131.7415847,130.8926301,127.8693151,123.8668767,119.7771038,114.3557534,105.248411,99.90471233,98.80770492,93.80290411,89.53994521,88.51630137,83.0704918,85.98282192,84.36857534,84.16167123
Oil production in Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10862.59167,11246.88164,11416.33342,11372.75536,11070.06411,10342.44312,9263.696,7978.186339,7118.856274,6370.724712,6235.776932,6061.591967,6170.674849,6109.998247,6118.780055,6582.745805,7105.859497,7754.929349,8602.613681,9334.897426,9597.424336,9818.393384,10043.43678,9950.291068,10138.85137,10365.84411,10517.99003,10638.83306,10778.68731,10837.5817,10980.07748
Oil production in Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.2246575,137.569863,135.430137,120.1010929,121.030137,119.5205479,113.0958904,108.7978142,91.59780822,86.60876712,83.8630137,89.65710383,108.3536986,128.6369863,142.6443836,141.8085792,159.13,178.91,199.68,193.0869399,192.64,186.64,199.28,211.1602732,213.87,219.87,219.87,228.5120219,240.0191904,248.7790276,260.824777
Oil production in United Kingdom,1.739835616,1.615561644,1.84339726,1.735081967,1.792109589,3.519123288,4.899945205,7.861967213,8.825424658,9.762410959,33.85939726,254.4322404,798.6334247,1127.279233,1623.398795,1676.138579,1867.711123,2166.716603,2422.073753,2652.12776,2695.422356,2690.987616,2612.321863,2413.901093,1943.294137,1932.809644,1933.555397,1995.892459,2134.836712,2694.437589,2769.156274,2755.097814,2721.449205,2827.883616,2930.180932,2714.112587,2517.957144,2504.393284,2295.80161,2063.811039,1842.816488,1666.325576,1658.724725,1555.064759,1476.952636,1361.262333,1115.953786,948.9173294,866.7039193,855.0326968,965.1077021
Oil production in Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.60821918,60.62191781,64.27123288,60.35519126,66.48493151,68.99452055,68.73972603,79.3715847,93.57506849,124.2857534,172.2934247,173.5401639,181.5073973,191.4539726,190.8767123,158.7704918,152.7858904,152.9928767,150.5823288,138.4128415,114.7880822,113.8726027,103.8127501,101.8308743,95.21013699,77.71547507,76.57890411,67.72868852,68.1215,66.1055,64.2222
Oil production in Other Europe & Eurasia,470.4719452,486.6779726,506.9918356,517.6376776,530.0449589,528.2369589,509.311726,504.3686612,509.1426301,509.9743288,507.7230685,494.3119945,481.7442466,489.9936986,508.7739452,484.2089344,470.336411,493.0393151,530.1069041,531.8124863,754.125589,758.1186027,735.7184932,712.7775956,691.3196986,681.8538904,680.0604658,642.1549454,597.2536164,605.2460548,572.0402192,543.2436885,521.3709096,502.9409808,471.624263,452.5039399,452.5172712,486.6407233,494.7424658,481.7340956,454.4191061,445.0285129,442.09542,420.2230851,409.1639004,393.6698363,393.8641188,389.5216911,397.492747,387.9975636,378.4335737
