,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil production in World,31798.58986,34563.47235,37112.78182,40429.86744,43626.88614,48056.04485,50838.48619,53661.48045,58459.5721,58613.61352,55822.22559,60409.86633,62715.78788,63338.38526,66060.19569,62958.513,59546.63704,57311.96272,56615.00686,57690.27395,57454.73038,60430.30403,60740.16527,63106.00078,63997.87005,65386.254,65204.96666,65719.07481,65985.0145,67077.10742,67995.00941,69846.40056,72102.58844,73449.62654,72291.06037,74922.05623,75161.93782,74921.90872,77605.09991,80915.55297,81896.37965,82487.43992,82277.1686,82818.20046,81181.7931,83283.12853,84096.55446,86217.72582,86590.51417,88834.19394,91670.30218
Oil production in Iran,1908,2132,2603,2840,3376,3847.659726,4572.421918,5058.957377,5907.37589,6060.30137,5386.619178,5918.191257,5713.958904,5302.054795,3217.589041,1478.961749,1321.031233,2396.924384,2453.584658,2042.535519,2205.205479,2054.238356,2342.438356,2349.480874,2894.341918,3270.178082,3499.561644,3523.016393,3712.164384,3730.027397,3743.774247,3758.579235,3776.463014,3854.747945,3603.356164,3852.322081,3825.375875,3579.815095,4032.374973,4142.468443,4215.537452,4290.241096,4332.692233,4360.735907,4249.742,4420.255,4465.644795,3813.725519,3611.267945,3735.545205,3920.030685
Oil production in Iraq,1313,1392,1228,1503,1521,1549,1694,1466,2018,1977.038356,2270.558904,2422.26776,2358.120548,2573.550685,3488.550685,2657.519126,906.9068493,988.1808219,1105.728767,1227.983607,1425.292055,1899.41863,2391.27726,2782.15082,2838.259726,2148.947945,285.3561644,531.2612022,455.2756164,505.2756164,530.2756164,580.2612022,1165.826849,2120.826849,2609.826849,2613,2522,2116,1344,2030,1833,1999,2143.2118,2428,2451.712,2490.041,2801.11,3116,3141,3285.287671,4030.7397
Oil production in Kuwait,2371,2505,2522,2656,2819,3036,3253,3339,3080,2603,2132,2199,2024,2182,2623,1757,1187,862,1117,1229,1127,1210,1072,1286,1408,964,185,1077,1945,2085,2130,2129,2137,2232,2085,2244.074,2186.204,2032.332,2369.609,2523.014,2667.946,2736.838,2660.920374,2785.606536,2499.963562,2561.441918,2915.084795,3171.124372,3133.74274,3119.803014,3095.85
Oil production in Oman,0,0,57,241,327,332,294,282,293,290,341,367,340,314,295,285,330,338,391,419,502,564,588,625,651,695,716,748,785,819,868,897,909,905,911,960.6912568,958.7787153,900.005209,821.6695921,783.1529995,776.7322334,738,710,757,812.5,864.6,884.9,918.4718579,941.9493151,943.4789041,952.2046575
Oil production in Qatar,233,291,324,340,356,363,430,482,570,518,437,487,435,484,506,475.5344262,421.109589,344.5249315,315.5989041,353.0163934,315.2421918,355.0975342,314.8564384,360.4218579,403.4465753,433.8136986,419.589589,495.3169399,460.2509589,451.380274,460.8887671,567.9989071,692.08,701.43,723.27,853.182871,857.5761927,803.3926693,949.426285,1082.28202,1151.176857,1241.205381,1266.790955,1437.866585,1421.255225,1637.672666,1834.424584,1931.457626,1903.25289,1892.624203,1898.07274
Oil production in Saudi Arabia,2219,2615,2825,3081,3262,3851,4821,6070,7693,8618,7216,8762,9419,8554,9841,10270,10256,6961,4951,4534,3601,5208,4599,5720,5635,7105,8820,9098,8962,9084,9092.13752,9244.203024,9427.616119,9448.586653,8800.110352,9469.665333,9188.130316,8907.400316,10140.85998,10457.91122,10931.2814,10670.9228,10267.73662,10662.7343,9663.341463,10074.56922,11143.74577,11634.54364,11393.07684,11504.74577,12013.87563
Oil production in Syria,0,0,0,21,53,85,106,117,111,129,192,201,183,179,167,158,164,155,161,162,159.4410959,200.6,230.8821918,268.1967213,340.6410959,406.7293151,471.9835616,514.3770492,566.0816438,563.2684932,596.2816438,586.231694,577.2421918,576.2383562,578.829589,573,612.5792115,676.6780466,651.5748,486.9811,447.8736,421.2701,404.0937,406.4116,400.9979,385,353,170.6912568,59.38082192,33.01643836,27
Oil production in United Arab Emirates,282,360,382,498,599,762,1106,1300,1456,1631,1696,1937,1998,1829,1831,1745,1540,1375,1296,1283,1260,1594,1603,1620,2024,2283,2639,2510,2443,2482,2401,2519,2620,2687,2583,2659.949366,2561.246137,2438.529219,2722.140411,2836.169962,2919.223548,3097.568986,3001.994847,3026.530235,2724.724734,2895.322925,3319.913342,3402.913895,3639.763,3684.695342,3901.807205
Oil production in Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,170,178,182,197,183.9584699,209.3731507,345.5808219,351.4706849,356.663388,374.9665753,380.0915068,405.1254795,449.502,452.7296,457.3413,450.8732,423.8064,420.8493,386.579,340.9312,314.5184,307.1318,305.8949,241.2243,189.6506,150.2911,144.8784,46.555
Oil production in Other Middle East,60.99616438,65.76109589,72.97753425,77.96939891,77.95890411,78.54753425,76.21452055,70.9181694,68.74438356,67.7639726,61.68561644,58.72281421,58.52890411,55.47013699,51.41136986,55.39071038,54.29383562,52.21547945,50.23506849,50.17581967,50.21536986,50.54767123,51.68446575,52.66333333,52.52830137,51.56720548,53.35221918,54.2342623,53.19578082,52.11742466,52.17619178,50.11710383,50.1370137,49.1370137,48.11742466,48.11710383,47.11742466,48.11742466,48.09783562,48.45589071,185.0538137,182.2163014,193.9294548,192.4925219,192.1120548,192.2371562,201.1026986,183.4270028,207.4728569,212.5994487,211.5024788
