,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil reserves in World,683.3755297,696.4713444,725.5745949,737.3217744,774.4486902,802.5594915,907.6736507,938.8821156,1026.70607,1027.269922,1027.506912,1097.840971,1103.825709,1104.298906,1117.970052,1126.165378,1148.759989,1162.059312,1142.411945,1281.826682,1300.925173,1305.386381,1354.860509,1362.095921,1366.186608,1374.385994,1383.727818,1418.986276,1489.955769,1529.200364,1636.488484,1675.302661,1688.260904,1695.523515,1699.980306,1697.589031
Oil reserves in Australia,2.122811168,2.618448138,2.93105185,2.490765095,2.559953034,2.459315956,2.874443531,2.905892551,3.188934088,3.100876749,3.157485008,3.226672888,3.220383108,3.258121908,3.817915142,3.799045682,3.817915201,4.0380584,4.773966432,4.742517352,4.94379127,4.95637095,4.572692394,3.749437928,3.889260411,3.718341112,3.514519691,3.428959608,4.239200354,4.061399937,3.831079781,3.872944772,3.921967506,3.957498729,3.98203522,3.984550774
Oil reserves in Brunei,1.29400003,1.5,1.445250034,1.52699995,1.470270038,1.442999959,1.475000024,1.600000024,1.200000048,1.15170002,1.123999953,1.149999976,1.129999995,1.25,1.187999964,1.123999953,1.090000033,1.059999943,1.019999981,1.299999952,1.230000019,1.159999967,1.100000024,1.049999952,1.120300055,1.105000019,1.200000048,1.077999949,1.077999949,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024
Oil reserves in China,13.35262108,13.29046249,13.25887012,14.8808527,16.3645916,17.08769608,17.16128922,17.42348289,17.28362656,16.05849075,16.01971436,15.5132122,15.19311047,16.43532562,16.25794029,16.35506248,16.44448853,17.02150536,17.42282295,15.11190033,15.19029999,15.41149998,15.50870037,15.47570038,15.53069973,15.5873003,15.61450005,15.49339962,15.60556984,15.86211967,17.29879951,17.80456924,18.0837059,18.47892952,18.47892952,18.47892952
Oil reserves in India,2.756958961,3.48239994,3.504699945,3.619999886,3.75999999,3.761310339,4.635000229,4.415599823,4.463500023,4.345399857,5.563164234,6.125599861,5.909999847,5.860000134,5.807300091,5.509776115,5.486960411,5.62543726,5.394266129,4.972209454,5.289900303,5.513465881,5.576341629,5.731158257,5.565272331,5.918881416,5.692679882,5.459249973,5.798099995,5.822873592,5.833189964,5.703523159,5.719712734,5.711030483,5.743409634,5.749155045
Oil reserves in Indonesia,11.60299969,11.01799965,10.5340004,10.07999992,9.611000061,9.180000305,9,9,9,5.113999844,5.414999962,5.90899992,5.59800005,5.166999817,4.980000019,4.980000019,4.730000019,4.869999886,5.099999905,5.199999809,5.119999886,5.099999905,4.71999979,4.730000019,4.300000191,4.190000057,4.369999886,3.988739967,3.747499943,4.302999973,4.230000019,3.741329908,3.741329908,3.692500114,3.624500036,3.602530003
Oil reserves in Malaysia,1.799999952,2.295000076,2.569999933,2.569999933,2.900000095,3.5,3.529999971,3.323999882,3.378999949,3.674499989,3.559999943,3.700000048,5.090000153,4.960000038,5.199999809,5.199999809,4.960999966,4.975999832,4.650000095,5.028999805,4.53000021,4.456999779,4.539999962,4.840000153,5.159999847,5.251999855,5.356999874,5.460000038,5.519999981,3.572000027,3.739000082,3.739000082,3.667999983,3.75,3.599999905,3.599999905
Oil reserves in Thailand,0.000419,0.0152095,0.029999999,0.029999999,0.057999998,0.108999997,0.104000002,0.104000002,0.104000002,0.230700001,0.261400014,0.219999999,0.178599998,0.218099996,0.230800003,0.29519999,0.2412,0.296299994,0.388300002,0.358469993,0.514999986,0.583999991,0.691999972,0.5,0.5273,0.453000009,0.460999995,0.460999995,0.453999996,0.435000002,0.442000002,0.453270003,0.44882001,0.461799979,0.404829994,0.404829994
Oil reserves in Vietnam,0,0,0,0,0,0,0,0.0219,0.051100001,0.109499998,0.200749993,0.239999995,0.349999994,0.596199989,0.638700008,0.764349997,0.889999986,1.246399999,1.899999976,1.799999952,1.950000048,2.200000048,2.812000036,2.960000038,3.084000111,3.119207382,3.25,3.410000086,4.730000019,4.5,4.400000095,4.400000095,4.400000095,4.400000095,4.400000095,4.400000095
Oil reserves in Other Asia Pacific,0.993110009,1.088059981,1.083620016,1.109791974,1.100257974,1.169999978,0.678799993,0.670499992,0.975699987,0.945500015,1.005199999,0.913267991,0.866780017,1.089473001,1.082782987,1.072813989,1.331409024,1.196955012,1.339857988,1.417107008,1.307611979,1.246999681,1.11394998,1.428839892,1.45129444,1.415513288,1.390791097,1.268045945,1.259464504,1.122902144,1.107442439,1.110439982,1.07462908,1.345332348,1.283031289,1.283875397
