,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil reserves in World,683.3755297,696.4713444,725.5745949,737.3217744,774.4486902,802.5594915,907.6736507,938.8821156,1026.70607,1027.269922,1027.506912,1097.840971,1103.825709,1104.298906,1117.970052,1126.165378,1148.759989,1162.059312,1142.411945,1281.826682,1300.925173,1305.386381,1354.860509,1362.095921,1366.186608,1374.385994,1383.727818,1418.986276,1489.955769,1529.200364,1636.488484,1675.302661,1688.260904,1695.523515,1699.980306,1697.589031
Oil reserves in Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,1.253999949,1.253999949,1.253999949,1.156999946,1.156999946,1.156999946,1.156999946,1.156999946,1.177999973,1.177999973,1.177999973,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Oil reserves in Denmark,0.449999988,0.370999992,0.327070147,0.308200717,0.465445995,0.446576566,0.402547896,0.402547896,0.540923715,0.628981054,0.591242194,0.616401434,0.748487473,0.704458833,0.754777312,0.912022531,0.861704051,0.943471611,0.880573511,0.905732751,1.113296509,1.346019506,1.276831627,1.276831627,1.327150106,1.276831627,1.157325149,1.113296509,0.811385572,0.918312371,0.899442911,0.805095792,0.729618073,0.673009753,0.610111654,0.553503335
Oil reserves in Italy,0.378450006,0.378450006,0.416294992,0.431432992,0.62065798,0.63579601,0.643365026,0.681209981,0.802313983,0.764469028,0.764469028,0.825021029,0.643365026,0.643365026,0.756900012,0.772037983,0.756900012,0.643365026,0.63579601,0.63579601,0.597950995,0.567674994,0.554096222,0.505109668,0.462700546,0.459680498,0.450484186,0.456478834,0.469520211,0.527998328,0.579755127,0.577681243,0.621149957,0.603438497,0.641904175,0.61695677
Oil reserves in Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,5.186999798,5.186999798,5.186999798,5.31799984,5.31799984,5.31799984,5.31799984,5.400000095,5.400000095,5.400000095,5.400000095,5.400000095,9,9,9,9,30,30,30,30,30,30,30,30,30
Oil reserves in Norway,3.952061594,3.95495975,3.816583753,4.887011111,4.961908787,5.902660608,6.493355215,6.636084616,8.156468987,8.421635091,8.630572677,8.811083555,9.74274981,9.566066921,9.704442501,10.80439055,11.68221641,12.04082179,11.66302553,10.93795872,11.36624509,11.59697092,10.44816822,10.14906937,9.72194171,9.688088477,8.54574728,8.168358505,7.490797818,7.077699006,6.803992212,6.883336872,7.494603559,7.047489583,6.539223909,8.005041003
Oil reserves in Romania,1.090193033,1.005512953,0.959259987,1.594939947,1.510599971,1.442000031,1.361999989,1.286000013,1.230999947,1.199000001,1.519999981,1.491000056,1.244799972,1.007500052,1.000399947,1.005800009,0.980400026,0.931299984,1.162899971,1.225299954,1.16989994,1.154000044,0.508099973,0.493800014,0.468199998,0.458400011,0.477699995,0.479999989,0.479999989,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024
Oil reserves in Russian Federation,0,0,0,0,0,0,0,0,0,0,0,116.1492662,116.1492662,115.0766802,115.0766802,113.607233,113.607233,113.1119967,113.1119967,112.1120186,112.1120186,111.2951775,109.677248,107.7666998,105.4636774,104.4048166,104.0337267,106.4270296,106.3661642,105.5639544,105.800355,105.7094479,105.4915886,105.0164146,103.1638947,102.3751984
Oil reserves in Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0.545799971,0.545799971,0.545799971,0.545799971,0.545799971,0.545799971,0.546000004,0.546000004,0.546000004,0.546000004,0.546000004,0.546000004,0.546000004,0.546000004,0.546000004,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024
Oil reserves in United Kingdom,8.4375,7.875,7.462500095,6.9375,6,5.625,5.324999809,5.175000191,4.275000095,3.825000048,4.012499809,4.162499905,4.574999809,4.537499905,4.3125,4.537499905,4.987500191,5.175000191,5.137499809,4.987500191,4.724999905,4.537499905,4.462500095,4.28249979,3.997499943,3.869999886,3.592499971,3.390000105,3.059999943,2.835000038,2.805000067,3.097500086,3.037499905,3.029999971,2.805000067,2.805000067
Oil reserves in Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0.262199998,0.262199998,0.262199998,0.262199998,0.261999995,0.594200015,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982,0.593999982
Oil reserves in Other Europe & Eurasia,2.270269607,2.183703821,2.348153531,2.251517241,2.202918808,2.249543235,2.282766781,2.163063976,2.240227583,2.040837126,1.98504545,2.621171472,2.445405023,2.38004648,2.273782502,2.230103299,2.35354225,2.197462005,2.146463928,2.290868606,2.321189954,2.224587915,2.225191559,2.337590732,2.23928308,2.194839847,2.159808143,2.136365801,2.117593557,2.290266725,2.189405168,2.168656853,2.013167013,1.994612162,2.051589148,2.065609941
