,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil reserves in World,683.3755297,696.4713444,725.5745949,737.3217744,774.4486902,802.5594915,907.6736507,938.8821156,1026.70607,1027.269922,1027.506912,1097.840971,1103.825709,1104.298906,1117.970052,1126.165378,1148.759989,1162.059312,1142.411945,1281.826682,1300.925173,1305.386381,1354.860509,1362.095921,1366.186608,1374.385994,1383.727818,1418.986276,1489.955769,1529.200364,1636.488484,1675.302661,1688.260904,1695.523515,1699.980306,1697.589031
Oil reserves in Iran,58.29600143,57.02000046,56.14799881,55.25699997,58.87400055,59,92.86000061,92.86000061,92.86000061,92.86000061,92.84999847,92.86000061,92.86000061,92.86000061,94.30000305,93.69999695,92.59999847,92.59999847,93.69999695,93.09999847,99.52999878,99.08000183,130.6900024,133.25,132.7400055,137.4900055,138.3999939,138.2200012,137.6199951,137.0099945,151.1699982,154.5800018,157.3000031,157.8000031,157.8000031,157.8000031
Oil reserves in Iraq,30,32,59,65,65,65,72,100,100,100,100,100,100,100,100,100,112,112.5,112.5,112.5,112.5,115,115,115,115,115,115,115,115,115,115,143.1000061,140.3000031,144.2109985,143.0690002,143.0690002
Oil reserves in Kuwait,67.93000031,67.73000336,67.15000153,67,92.70999908,92.46399689,94.52200317,94.52500153,94.52500153,97.125,97.02500153,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,99,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5
Oil reserves in Oman,2.483999968,2.941999912,3.400000095,3.5,3.900000095,4.066999912,4.037000179,4.105199814,4.142000198,4.29090023,4.353000164,4.349999905,4.739999771,5,5.099999905,5.199999809,5.300000191,5.399000168,5.400000095,5.743999958,5.84800005,5.900000095,5.705999851,5.572000027,5.572000027,5.572000027,5.572000027,5.572000027,5.572000027,5.5,5.5,5.5,5.5,4.974299908,5.151000023,5.306000233
Oil reserves in Qatar,3.585000038,3.450000048,3.424999952,3.329999924,4.5,4.5,4.5,4.5,4.5,4.5,2.993000031,2.993000031,3.121000051,3.121000051,3.5,3.700000048,3.700000048,12.50000024,13.48549986,13.10279989,16.8666997,16.8361001,27.59560013,27.01570082,26.86481977,27.91019917,27.43619919,27.32300043,26.83300018,25.90699911,24.68400025,23.89999986,25.22899938,25.06300068,25.70500064,25.70500064
Oil reserves in Saudi Arabia,168.0299988,167.8500061,165.4839935,168.8480072,171.7100067,171.4900055,169.7440033,169.5850067,254.9889984,260.0499878,260.3420105,260.9360046,261.2030029,261.355011,261.3739929,261.4500122,261.4440002,261.5409851,261.5419922,262.7839966,262.7659912,262.696991,262.7900085,262.730011,264.3099976,264.2109985,264.2510071,264.2090149,264.0629883,264.5899963,264.5159912,265.4049988,265.8500061,265.8500061,267,266.5780029
Oil reserves in Syria,1.452028036,1.889999986,1.75,1.460000038,1.397500038,1.539999962,1.620000005,1.720000029,1.799999952,2,1.879999995,3,3,2.950000048,2.650000095,2.558399916,2.450000048,2.345000029,2.299999952,2.299999952,2.325000048,2.325000048,2.279999971,2.394999981,3.15899992,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Oil reserves in United Arab Emirates,30.40999985,32.17599869,32.35400009,32.34000015,32.49000168,32.99000168,97.20300293,98.10500336,98.10500336,98.10500336,98.09999847,98.09999847,98.09999847,98.09999847,98.09999847,98.09999847,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305,97.80000305
Oil reserves in Yemen,0,0,0,0,0,0.5,0.5,1.049999952,2,2,2,2.00999999,2.00999999,1.985999942,1.985999942,1.985999942,1.985999942,1.828999996,1.850000024,1.850000024,2.400000095,2.400000095,2.855000019,2.849999905,3,2.920700073,2.779999971,2.670000076,2.670000076,3,3,3,3,3,3,3
Oil reserves in Other Middle East,0.224058999,0.207146994,0.191021997,0.185800002,0.173749993,0.180710007,0.141700003,0.126700002,0.113619003,0.098483003,0.0714,0.071289,0.059418002,0.060351002,0.052194999,0.113906998,0.215289994,0.214329993,0.164229997,0.152910002,0.152870002,0.129289998,0.129259998,0.129339998,0.127559999,0.127559999,0.127519999,0.127499999,0.127499999,0.309039992,0.276939989,0.651799999,0.279299998,0.260685,0.239252997,0.217052996
